place_id,location,accesslvl,rules
337,Heath Pl & Highland Blvd,0,Unknown
338,81 St & Central Pk West,4,Unknown
339,"W. 26 St., 8 Ave. To 9 Ave.",4,Adults not allowed in some locations
340,E. 136 St. bet. Brown Pl. and Willis Ave.,0,Adults Allowed
341,Tilden Ave. between E. 48 St. and E. 49 St.,2,Adults Allowed
342,38 St. bet. 31 Ave. and Broadway,2,Adults Allowed
343,"Washington Sq N, West Of 5th Ave",0,Adults not allowed in some locations
344,"Lorraine, Clinton, Henry Sts",4,Unknown
345,"Court St., Smith St., bet. Carroll St. and President St.",3,Unknown
346,E. 226 St. bet. White Plains Rd. and Barnes Ave.,4,Adults Allowed
347,5 Ave. and E. 135 St.,2,Adults Allowed
348,"Baxter St, Mulberry St, Bayard St and Park",0,Adults not allowed in some locations
349,Ocean Ave & E Lake Dr,2,Unknown
350,85 Ave. bet. 248 St. and 249 St.,3,Adults Allowed
351,Not Specified,0,Unknown
352,Independence Ave & W 227 St,2,Adults not allowed in some locations
353,Myrtle Ave & St Edwards Plaza,2,Unknown
354,"Beach 12 St., Redfern Ave.",4,Adults Allowed
355,Viele Ave. bet. Tiffany St. and Barretto St.,0,Adults not allowed in some locations
356,B 54 St & Almeda Ave,4,Unknown
357,Goble Pl bet. Inwood Av and Macombs Rd,4,Adults Allowed
358,Amsterdam Ave bet. W. 100 St. and W 102 St.,4,Adults Allowed
359,"Rodney St., S. 3 St., Borniquen Pl.",0,Unknown
360,"W. 108 St. to W. 109 St., Columbus Ave. and Amsterdam Ave.",4,Adults not allowed in some locations
361,"Linden Blvd., Osborn St., Rockaway Ave., Hegeman Ave.",4,Adults Allowed
362,Austin St. bet. 76 Ave. and 76 Dr.,3,Adults Allowed
363,49 Ave. bet. 5 St. and Vernon Blvd.,2,Adults Allowed
364,"Lorimer St, Driggs Ave",4,Unknown
365,"Shore Pkwy., Brighton 3 St., Brighton 4 St.",0,Adults Allowed
366,Kelly St bet. Av St John and Leggett Av,4,Unknown
367,Baisley Blvd. 168 St. and Bedell St.,4,Adults Allowed
368,"134 St., 135 St., bet. 111 Ave. and Lincoln St., Linden Blvd",4,Adults Allowed
369,Wall St. bet. St Marks Pl. and Belmont Pl.,4,Adults not allowed in some locations
370,Columbia Hts. at Middagh St.,4,Adults not allowed in some locations
371,"N. Conduit Ave., 135 Ave. bet. 130 Pl. and 134 St.",4,Adults Allowed
372,Flatlands Ave. between E. 81 St. and E. 82 St.,0,Unknown
373,"Reservoir Oval East, Holt Pl",0,Unknown
374,"B 80 St., B 79 St., Rockaway Beach Blvd., Beach Channel Dr.",3,Adults Allowed
375,"Clarkson Ave., New York Ave.",2,Adults Allowed
376,E. 139 St. bet. Brook Ave. and Willis Ave.,4,Adults Allowed
377,67th To 68th Sts Along Riverside Dr,0,Adults not allowed in some locations
378,B 14 St & Corbin Place,0,Unknown
379,St Marys St & Crimmins Ave,0,Adults not allowed in some locations
380,"29 And 32 Aves, 158 To 159 Sts",4,Adults Allowed
381,"W 110-111 Sts, Riverside Dr",4,Unknown
382,3 Ave. bet. 64 St. and 65 St.,4,Unknown
383,124 St Btwn 5 Ave And Mt Morris Park West,4,Unknown
384,"91 Ave., Archer Ave. bet. 138 Pl. and 138 St.",3,Adults Allowed
385,"W. 138 St., bet. Lenox Ave. and 5 Ave.",2,Adults Allowed
386,Union Tpke & 71 Ave,4,Unknown
387,Rutgers St. and Henry St.,2,Adults not allowed in some locations
388,"20 Ave, Whitestone Exwy",4,Adults Allowed
389,"Nassau St, Flushing Ave, Navy St, N. Elliot Pl",4,Adults Allowed
390,W. 97 St. and Amsterdam Ave.,4,Unknown
391,Hamitlon Ave. ber. Van Brunt St. and Woodull St.,0,Unknown
392,79 St & Shore Rd,4,Unknown
393,Horatio Pkwy & 50th Ave,4,Unknown
394,Northwest Corner Of Zone 2 Heritage Field,0,Adults not allowed in some locations
395,"Ft George, St Nicholas Aves",4,Adults not allowed in some locations
396,W 235 St & Douglas Ave,0,Adults not allowed in some locations
397,Corner of Baruch Pl. and Mangin St.,4,Adults Allowed
398,"Hegeman Ave., Linden Blvd. bet. Powell St. and Mother Gaston Blvd.",4,Adults Allowed
