place_id,propname,subpropname,primarysport,fieldnumber,netsremoved,surfacetype
1667,Flushing Meadows Corona Park,Albert H. Mauro Playground,Handball,11,1,Asphalt
1668,Flushing Meadows Corona Park,Albert H. Mauro Playground,Handball,9,1,Asphalt
1669,Kissena Corridor Park,Captain Mario Fajardo Park,Handball,6,1,Asphalt
1670,Merriam Playground,Merriam Plgd (Lower),Handball,1,0,Asphalt
1671,Rodney Park Center,N/A,Handball,3,0,Asphalt
1672,Rodney Park Center,N/A,Handball,1,0,Asphalt
1673,Gravesend Park,N/A,Handball,2,1,Asphalt
1674,Gravesend Park,N/A,Handball,1,1,Asphalt
1675,Gravesend Park,N/A,Handball,4,1,Asphalt
1676,Kissena Corridor Park,Underhill Playground,Handball,1,0,Asphalt
1677,Roy Wilkins Recreation Center,Roy Wilkins Park Playground,Handball,5,0,Concrete
1678,Roy Wilkins Recreation Center,Roy Wilkins Park Playground,Handball,3,0,Concrete
1679,Roy Wilkins Recreation Center,Roy Wilkins Park Playground,Handball,6,0,Concrete
1680,Alley Pond Park,Horatio Playground,Handball,3,0,Asphalt
1681,Alley Pond Park,Wild Flower Meadow Playground,Handball,7,0,Asphalt
1682,Alley Pond Park,Wild Flower Meadow Playground,Handball,5,0,Asphalt
1683,Rufus King Park,Rufus King Park Playground,Handball,2,0,Asphalt
1684,Dr. Charles R. Drew Park,N/A,Handball,2,0,Asphalt
1685,Dr. Charles R. Drew Park,N/A,Handball,6,0,Asphalt
1686,Detective Keith L Williams Park,K.l. Williams Playground (Tennis),Handball,2,0,Asphalt
1687,Dr. Charles R. Drew Park,N/A,Handball,3,0,Asphalt
1688,Brookville Park,Brookville Playground,Handball,1,0,Asphalt
1689,Inwood Hill Park,Emerson Plgd,Handball,5,0,Asphalt
1690,Inwood Hill Park,Emerson Plgd,Handball,1,0,Asphalt
1691,Inwood Hill Park,Emerson Plgd,Handball,7,0,Asphalt
1692,Inwood Hill Park,Emerson Plgd,Handball,8,0,Asphalt
1693,Inwood Hill Park,Emerson Plgd,Handball,2,0,Asphalt
1694,Linden Park,Linden Park,Handball,5,0,Asphalt
1695,Linden Park,Linden Park,Handball,6,0,Asphalt
1696,Breukelen Ballfields,Breukelen Plgd,Handball,3,0,Asphalt
1697,Sara D. Roosevelt Park,Hester St Plgd,Handball,2,0,Asphalt
1698,Sara D. Roosevelt Park,Hester St Plgd,Handball,1,0,Asphalt
1699,Bayswater Park,Bayswater Playground,Handball,1,0,Asphalt
1700,Highbridge Park,Sunken Plgd,Handball,2,0,Asphalt
1701,Harlem River Park,Each One Teach One,Handball,1,0,Asphalt
1702,Flushing Fields,Leonardo Ingravallo Playground,Handball,6,0,Concrete
1703,Macneil Park,MacNeil Playground,Handball,1,0,Concrete
1704,Macombs Dam Park,Macombs Dam Park Zone 1 Upper,Handball,1,0,Concrete
1705,Macombs Dam Park,Macombs Dam Park Zone 1 Upper,Handball,3,0,Concrete
1706,Macombs Dam Park,Macombs Dam Park Zone 1 Upper,Handball,5,0,Concrete
1707,Flushing Fields,Leonardo Ingravallo Playground,Handball,3,0,Concrete
1708,Crotona Park,Hill & Dale Playground,Handball,15,0,Concrete
1709,Crotona Park,Hill & Dale Playground,Handball,17,0,Concrete
1710,Crotona Park,Hill & Dale Playground,Handball,14,0,Concrete
1711,Queensbridge Park,"Queensbridge ""Baby"" Park",Handball,4,0,Asphalt
1712,Queensbridge Park,"Queensbridge ""Baby"" Park",Handball,2,0,Asphalt
1713,Crotona Park,Hill & Dale Playground,Handball,16,0,Concrete
1714,Merriam Playground,Merriam Plgd (Lower),Handball,3,0,Concrete
